,name,capital,region,lat,long,population,alpha3Code
0,Afghanistan,Kabul,Asia,33.0,65.0,27657145,AFG
1,Åland Islands,Mariehamn,Europe,60.116667,19.9,28875,ALA
2,Albania,Tirana,Europe,41.0,20.0,2886026,ALB
3,Algeria,Algiers,Africa,28.0,3.0,40400000,DZA
4,American Samoa,Pago Pago,Oceania,-14.33333333,-170.0,57100,ASM
5,Andorra,Andorra la Vella,Europe,42.5,1.5,78014,AND
6,Angola,Luanda,Africa,-12.5,18.5,25868000,AGO
7,Anguilla,The Valley,Americas,18.25,-63.16666666,13452,AIA
8,Antarctica,,Polar,-74.65,4.48,1000,ATA
9,Antigua and Barbuda,Saint John's,Americas,17.05,-61.8,86295,ATG
10,Argentina,Buenos Aires,Americas,-34.0,-64.0,43590400,ARG
11,Armenia,Yerevan,Asia,40.0,45.0,2994400,ARM
12,Aruba,Oranjestad,Americas,12.5,-69.96666666,107394,ABW
13,Australia,Canberra,Oceania,-27.0,133.0,24117360,AUS
14,Austria,Vienna,Europe,47.33333333,13.33333333,8725931,AUT
15,Azerbaijan,Baku,Asia,40.5,47.5,9730500,AZE
16,Bahamas,Nassau,Americas,24.25,-76.0,378040,BHS
17,Bahrain,Manama,Asia,26.0,50.55,1404900,BHR
18,Bangladesh,Dhaka,Asia,24.0,90.0,161006790,BGD
19,Barbados,Bridgetown,Americas,13.16666666,-59.53333333,285000,BRB
20,Belarus,Minsk,Europe,53.0,28.0,9498700,BLR
21,Belgium,Brussels,Europe,50.83333333,4.0,11319511,BEL
22,Belize,Belmopan,Americas,17.25,-88.75,370300,BLZ
23,Benin,Porto-Novo,Africa,9.5,2.25,10653654,BEN
24,Bermuda,Hamilton,Americas,32.33333333,-64.75,61954,BMU
25,Bhutan,Thimphu,Asia,27.5,90.5,775620,BTN
26,Bolivia (Plurinational State of),Sucre,Americas,-17.0,-65.0,10985059,BOL
27,"Bonaire, Sint Eustatius and Saba",Kralendijk,Americas,12.15,-68.266667,17408,BES
28,Bosnia and Herzegovina,Sarajevo,Europe,44.0,18.0,3531159,BIH
29,Botswana,Gaborone,Africa,-22.0,24.0,2141206,BWA
30,Bouvet Island,,,-54.43333333,3.4,0,BVT
31,Brazil,Brasília,Americas,-10.0,-55.0,206135893,BRA
32,British Indian Ocean Territory,Diego Garcia,Africa,-6.0,71.5,3000,IOT
33,United States Minor Outlying Islands,,Americas,,,300,UMI
34,Virgin Islands (British),Road Town,Americas,18.431383,-64.62305,28514,VGB
35,Virgin Islands (U.S.),Charlotte Amalie,Americas,18.34,-64.93,114743,VIR
36,Brunei Darussalam,Bandar Seri Begawan,Asia,4.5,114.66666666,411900,BRN
37,Bulgaria,Sofia,Europe,43.0,25.0,7153784,BGR
38,Burkina Faso,Ouagadougou,Africa,13.0,-2.0,19034397,BFA
39,Burundi,Bujumbura,Africa,-3.5,30.0,10114505,BDI
40,Cambodia,Phnom Penh,Asia,13.0,105.0,15626444,KHM
41,Cameroon,Yaoundé,Africa,6.0,12.0,22709892,CMR
42,Canada,Ottawa,Americas,60.0,-95.0,36155487,CAN
43,Cabo Verde,Praia,Africa,16.0,-24.0,531239,CPV
44,Cayman Islands,George Town,Americas,19.5,-80.5,58238,CYM
45,Central African Republic,Bangui,Africa,7.0,21.0,4998000,CAF
46,Chad,N'Djamena,Africa,15.0,19.0,14497000,TCD
47,Chile,Santiago,Americas,-30.0,-71.0,18191900,CHL
48,China,Beijing,Asia,35.0,105.0,1377422166,CHN
49,Christmas Island,Flying Fish Cove,Oceania,-10.5,105.66666666,2072,CXR
50,Cocos (Keeling) Islands,West Island,Oceania,-12.5,96.83333333,550,CCK
51,Colombia,Bogotá,Americas,4.0,-72.0,48759958,COL
52,Comoros,Moroni,Africa,-12.16666666,44.25,806153,COM
53,Congo,Brazzaville,Africa,-1.0,15.0,4741000,COG
54,Congo (Democratic Republic of the),Kinshasa,Africa,0.0,25.0,85026000,COD
55,Cook Islands,Avarua,Oceania,-21.23333333,-159.76666666,18100,COK
56,Costa Rica,San José,Americas,10.0,-84.0,4890379,CRI
57,Croatia,Zagreb,Europe,45.16666666,15.5,4190669,HRV
58,Cuba,Havana,Americas,21.5,-80.0,11239004,CUB
59,Curaçao,Willemstad,Americas,12.116667,-68.933333,154843,CUW
60,Cyprus,Nicosia,Europe,35.0,33.0,847000,CYP
61,Czech Republic,Prague,Europe,49.75,15.5,10558524,CZE
62,Denmark,Copenhagen,Europe,56.0,10.0,5717014,DNK
63,Djibouti,Djibouti,Africa,11.5,43.0,900000,DJI
64,Dominica,Roseau,Americas,15.41666666,-61.33333333,71293,DMA
65,Dominican Republic,Santo Domingo,Americas,19.0,-70.66666666,10075045,DOM
66,Ecuador,Quito,Americas,-2.0,-77.5,16545799,ECU
67,Egypt,Cairo,Africa,27.0,30.0,91290000,EGY
68,El Salvador,San Salvador,Americas,13.83333333,-88.91666666,6520675,SLV
69,Equatorial Guinea,Malabo,Africa,2.0,10.0,1222442,GNQ
70,Eritrea,Asmara,Africa,15.0,39.0,5352000,ERI
71,Estonia,Tallinn,Europe,59.0,26.0,1315944,EST
72,Ethiopia,Addis Ababa,Africa,8.0,38.0,92206005,ETH
73,Falkland Islands (Malvinas),Stanley,Americas,-51.75,-59.0,2563,FLK
74,Faroe Islands,Tórshavn,Europe,62.0,-7.0,49376,FRO
75,Fiji,Suva,Oceania,-18.0,175.0,867000,FJI
76,Finland,Helsinki,Europe,64.0,26.0,5491817,FIN
77,France,Paris,Europe,46.0,2.0,66710000,FRA
78,French Guiana,Cayenne,Americas,4.0,-53.0,254541,GUF
79,French Polynesia,Papeetē,Oceania,-15.0,-140.0,271800,PYF
80,French Southern Territories,Port-aux-Français,Africa,-49.25,69.167,140,ATF
81,Gabon,Libreville,Africa,-1.0,11.75,1802278,GAB
82,Gambia,Banjul,Africa,13.46666666,-16.56666666,1882450,GMB
